M_RSCP,M_RSRQ,M_SINR,M_CQI,M_QPSK ,M_16QAM,M_64QAM,M_256QAM,M_MIMO,M_Thrpt_Mbps,Thrpt_Good?
-83.98853021,-6.34818077,18.59612365,10.4498845,0,0.111111,0.888888,0,0.333333333,11.74990495,0
-84.56432579,-8.891953726,9.89998289,6.196299235,0.109243,0.546218,0.344537,0,0.203398058,68.77959092,1
-71.59375424,-5.783322084,29.83723801,12.11021073,0,0,0.5,0.5,0.333333333,26.4931556,1
-89.29036917,-8.622283209,8.783655822,6.535664553,0.495867,0.181818,0.314049,0.008264,0.089256374,61.00191233,1
-74.9359269,-7.576424576,27.76031623,13.21804088,0.006493,0.051948,0.941558,0,0.398831941,168.8143517,1
-85.20495807,-8.902060703,15.80520881,7.658875256,0.031007,0.24031,0.519379,0.209302,0.17816092,115.4528537,1
-74.42370859,-6.476658401,25.86960687,12.33691329,0.012195,0,0.530487,0.457317,0.38856327,96.0845476,1
-92.93349028,-8.600559579,8.740531396,6.050179729,0.366197,0.295774,0.309859,0.028169,0.01980198,32.14224576,1
-92.3748757,-7.492447983,7.915992418,8.245625053,0.117647,0.117647,0.705882,0.058823,0.012010981,8.04098742,0
-89.56694844,-6.94341626,12.68858116,7.914241566,0.154545,0.345454,0.5,0,0.36417274,35.53859187,1
-80.46761074,-8.588881975,18.90494854,10.10493381,0.380434,0.152173,0.369565,0.097826,0.205738825,46.04675481,1
-94.42559856,-8.816375866,8.272377361,5.766854038,0.344086,0.301075,0.333333,0.021505,0.10190358,57.79789005,1
-97.75384366,-9.144029781,7.550386048,7.133440176,0.356687,0.630573,0.012738,0,0.32315251,63.81989354,1
-79.45221751,-8.217416468,15.97593654,11.12236063,0.016949,0.129943,0.807909,0.045197,0.363360059,110.2556073,1
-78.86071789,-8.328632763,15.82880549,7.524760232,0.144144,0.45045,0.324324,0.081081,0.176964639,75.38312554,1
-88.85859235,-9.211357973,8.332795961,7.01649132,0.267241,0.577586,0.155172,0,0.364291969,35.38094299,1
-93.11401718,-10.16060506,5.421693737,9.239366361,0.914285,0.085714,0,0,0.333333333,17.6126017,0
-93.16339069,-9.061109267,10.87612058,10.92262717,0.080459,0.327586,0.350574,0.241379,0.439374669,126.1077648,1
-94.41670421,-8.865409926,7.20681976,5.590150319,0.254237,0.576271,0.152542,0.016949,0.198401686,26.76485033,1
-86.06529805,-7.871221212,15.77270224,7.856877451,0.217687,0.156462,0.619047,0.006802,0.157716909,102.1780357,1
-81.58083118,-7.807397539,11.34659744,9.13458499,0.157894,0.421052,0.328947,0.092105,0.348335855,31.12373703,1
-79.47411839,-8.323361666,25.56333195,10.89981157,0,0.085937,0.570312,0.34375,0.484160757,120.7068195,1
-92.29927422,-9.692012364,6.419819719,5.69626463,0.42,0.24,0.34,0,0.201759678,38.84642646,1
-80.68567203,-7.972978585,12.54363493,7.609351478,0.292035,0.415929,0.168141,0.123893,0.209372698,50.90500136,1
-70.9907767,-7.083290696,22.05456517,11.94182224,0,0,0.98773,0.012269,0.354657189,127.524108,1
-103.1424087,-8.667811987,6.659705598,7.58037818,0.117647,0.764705,0.117647,0,0,24.2703493,0
-76.79052211,-6.656701976,21.55933484,10.42826427,0,0.081818,0.60909,0.30909,0.474694984,116.2627428,1
-78.2271787,-7.056283612,23.31391856,11.49253248,0,0,0.680327,0.319672,0.470164456,150.0844003,1
-64.90545796,-9.665067351,8.061063846,10.8392924,0.159722,0.4375,0.326388,0.076388,0.34422723,76.33180967,1
-103.1894828,-10.48231768,3.076798821,7.031049668,0.371681,0.557522,0.070796,0,0.436349487,51.56979897,1
-68.70846747,-9.063284787,14.22973749,10.43903456,0.188405,0.282608,0.47826,0.050724,0.131005527,89.9611867,1
-82.20871588,-6.343541862,24.7565411,13.04412035,0,0.006289,0.949685,0.044025,0.333333333,38.70453896,1
-83.40546158,-8.570092592,12.58484541,9.495576374,0.131313,0.439393,0.429292,0,0.28313962,81.94131859,1
-87.78821863,-9.381392034,7.942583537,6.908246653,0.293478,0.260869,0.423913,0.021739,0.031555696,41.80477856,1
-62.71967718,-6.874139187,23.72368034,14.82163843,0.035714,0,0.964285,0,0.333333333,26.43712126,1
-88.49786133,-10.10711596,17.89855972,11.06421417,0.013157,0.271929,0.600877,0.114035,0.372514361,186.2895057,1
-82,-6.918691205,19.88538955,10.45880152,0,0,0.96,0.04,0.333333333,24.50660801,0
-99.66738371,-9.295312044,2.311904456,7.193413719,0.714285,0.071428,0.214285,0,0.350313769,27.87186279,1
-95.98669649,-9.16166084,11.04525907,8.837478886,0.132075,0.427672,0.440251,0,0.341962053,85.55035558,1
-86.76775104,-9.533773257,8.466652567,8.168679855,0.508928,0.232142,0.241071,0.017857,0.223965439,45.2592527,1
-89.17918151,-8.067817102,17.97217736,12.24753035,0.164634,0.390243,0.445121,0,0.333333333,26.37899385,1
-82.40885161,-8.113346813,23.53156648,10.24468256,0,0.165605,0.541401,0.292993,0.269095306,137.1024052,1
-84.48082081,-9.699143466,7.138114509,7.498533876,0.414141,0.474747,0.111111,0,0.141163957,65.92030389,1
-80.87147104,-8.471945864,16.33816363,12.82755537,0.042168,0.313253,0.644578,0,0.404078042,110.3519935,1
-71.90566952,-7.677952602,25.09133097,12.47372527,0,0.020161,0.866935,0.112903,0.326343415,181.2592865,1
-85.18917124,-8.258155591,8.976062489,6.594358076,0.057553,0.172661,0.697841,0.071942,0.200718215,105.9367511,1
-81.2577647,-10.74442588,8.565888259,10.79676522,0.22,0.46,0.295,0.025,0.268240458,57.83496176,1
-89.3625535,-9.51106091,6.161629024,7.480181183,0.066666,0.4,0.466666,0.066666,0.335245942,109.2825362,1
-82.16850432,-8.971546519,10.86401071,11.69084366,0.033333,0.226666,0.74,0,0.374124272,140.9059014,1
-74.35473698,-7.07025896,14.77404618,12.41959855,0.060606,0.242424,0.696969,0,0.333333333,24.22373988,0
-73.34452198,-10.23795506,11.42573489,11.09909954,0.048648,0.205405,0.729729,0.016216,0.284322366,110.906729,1
-83.69228163,-7.210265369,7.475244664,6.931740566,0.266666,0.2,0.466666,0.066666,0,14.14750926,0
-82.30225246,-8.099104491,13.4646197,8.8854616,0.014084,0.309859,0.676056,0,0.360774075,138.229935,1
-78.48812771,-7.40399541,10.24984632,9.244595757,0.013071,0.366013,0.588235,0.032679,0.184471628,129.6439385,1
-78.80027335,-9.550264095,9.907497123,9.871055611,0.276119,0.253731,0.410447,0.059701,0.152555301,63.04411968,1
-78.68881272,-8.146981711,23.03431087,12.59549911,0.0625,0.244318,0.664772,0.028409,0.34839599,103.8198361,1
-82.17307478,-12.63408371,3.53138136,5.762516205,0.150326,0.509803,0.333333,0.006535,0.188942734,78.20644834,1
-95.64189373,-8.09194273,10.0765919,8.943664181,0.411764,0.411764,0.17647,0,0,24.77210339,0
-93.95128057,-9.25072459,9.664856857,6.841559426,0.526315,0.347368,0.126315,0,0.338319088,66.29215635,1
-86.10917873,-6.179789622,20.22028019,9.64325545,0,0,1,0,0.333333333,25.24417864,1
-88.82504543,-7.79568494,21.08391929,9.447335206,0,0.119266,0.633027,0.247706,0.27601214,39.03417361,1
-92.57510449,-10.68825061,9.558043993,6.401188909,0.248,0.52,0.232,0,0.139570318,57.28213616,1
-79.75157804,-9.818139533,23.39301372,12.900314,0.058558,0.189189,0.716216,0.036036,0.333333333,189.1850654,1
-102.0335428,-8.659083954,4.173176502,7.080000226,0.578947,0.315789,0.105263,0,0.333333333,21.9811,0
-102.2822217,-14.59165191,-2.176748572,6.378890339,0.357142,0.454545,0.188311,0,0,56.63738882,1
-103.3322608,-12.20421666,-1.035569037,3.554657622,0.935064,0.064935,0,0,0,11.97422497,0
-93.33715715,-8.695751402,11.7007493,7.53582857,0.238636,0.477272,0.272727,0.011363,0.225563725,54.73666117,1
-87.68946175,-9.795635935,11.47850618,10.98360524,0.063926,0.538812,0.39726,0,0.167725278,120.3630331,1
-89.91099554,-8.104943795,8.572324635,8.866360191,0.377245,0.473053,0.1497,0,0.312017995,82.32815624,1
-90.66507415,-9.62925687,14.47120763,11.06296069,0.012987,0.190476,0.744588,0.051948,0.29115926,127.8822162,1
-93.60632914,-10.44815283,1.112106116,4.042627289,0.666666,0.222222,0.111111,0,0,20.07042392,0
-81.09761827,-9.39082097,14.6090238,8.828714861,0.398496,0.225563,0.315789,0.06015,0.12720343,56.44510847,1
-102.4601875,-11.62227235,2.081769443,3.497931959,0.956521,0.021739,0.021739,0,0.101095934,10.21663312,0
-101.1659044,-7.54256209,8.832235319,7.037494041,0.666666,0.25,0.083333,0,0.567314615,22.0581602,0
-83.67432642,-8.131343699,19.40898834,10.12119148,0,0.217687,0.680272,0.10204,0.33860776,136.487375,1
-91.13885904,-8.136655576,6.90465221,6.274779272,0.777777,0.222222,0,0,0.5,15.87907681,0
-92.85614607,-10.95889174,-3.464495511,5.062678701,0.68421,0.263157,0.052631,0,0,19.066886,0
-90.06757391,-6.586957541,20.684354,9.565609512,0,0.5,0.45,0.05,0.333333333,22.55238146,0
-100.3009359,-8.100198616,11.1451137,7.648187936,0.112149,0.607476,0.280373,0,0.333333333,74.08634928,1
-83.66100266,-8.240893588,16.20603974,9.192612369,0,0.170886,0.702531,0.126582,0.333333333,157.4874833,1
-81.40602969,-10.57111775,8.477258431,6.797200595,0.140939,0.28859,0.503355,0.067114,0.160493827,93.37341423,1
-81.14136253,-10.53395572,7.168521356,4.863777311,0.506172,0.160493,0.271604,0.061728,0.031733418,44.83555013,1
-90.59641509,-10.65853241,7.895193405,7.795921839,0.523076,0.384615,0.092307,0,0.25017993,37.38614173,1
-90.68977326,-11.10597465,2.651468997,4.352533775,0.780487,0.207317,0.012195,0,0,18.65771732,0
-95.58931574,-11.39810416,3.72757831,7.680351769,0.339506,0.648148,0.012345,0,0.310191151,53.73849151,1
-87.71492258,-7.942806605,9.636617979,11.00413267,0,0.7,0.3,0,0,22.75622356,0
-92.94996842,-10.40260832,3.746554857,5.850311889,0.677419,0.282258,0.040322,0,0.368914162,31.74535216,1
-99.45356067,-13.58657125,8.494251101,5.03586927,0.571428,0.373626,0.054945,0,0.396728364,15.17924096,0
-103.5854103,-15.14749328,-3.943636388,3.851720828,0.97826,0.021739,0,0,0,5.56160599,0
-74.83222691,-8.979408485,28.40736195,13.56275799,0,0.023166,0.397683,0.57915,0.403942869,203.5031377,1
-98.07266473,-9.648470407,12.43381013,8.370110623,0.18932,0.364077,0.412621,0.03398,0.291866275,133.0169298,1
-91.91103166,-9.648516138,12.85088264,9.490255421,0.064327,0.532163,0.385964,0.017543,0.293322941,115.7482748,1
-93.07491228,-11.00917362,2.349679342,4.528605157,0.766666,0.233333,0,0,0.199907877,12.62375541,0
-102.5727999,-14.8105163,-2.909815458,4.366305146,1,0,0,0,0,5.990175601,0
-77.46142368,-7.906931128,28.52654,12.58578485,0,0.077625,0.538812,0.383561,0.348466566,143.4334582,1
-86.12391952,-9.594598307,2.904318203,6.270775886,0.470588,0.529411,0,0,0,9.165452543,0
-83.63584038,-8.620402114,19.06472688,10.43517364,0.142857,0.321428,0.440476,0.095238,0.414316992,116.1825526,1
-73.28499851,-8.769566327,15.87643619,9.637084314,0.245762,0.406779,0.347457,0,0.337048584,59.43329367,1
-83.39364811,-8.567837786,17.75780722,11.53263532,0.076923,0.26923,0.615384,0.038461,0.168316832,24.9189647,0
-84.48409651,-10.22105402,3.700471111,5.936536956,0.333333,0.407407,0.259259,0,0,17.99570423,0
-102.5127575,-11.20085836,4.300758063,4.485587973,0.742574,0.168316,0.089108,0,0.132660345,24.31275036,0
-92.24403849,-10.44153497,7.988607377,6.046882946,0.842767,0.157232,0,0,0.257112621,29.03239814,1
-96.70926941,-8.763193677,14.81297606,7.096816355,0.407643,0.363057,0.229299,0,0.329618474,53.92333379,1
-85.70802495,-6.652002233,11.08430658,10.00330727,0.307692,0.307692,0.384615,0,0,23.0902918,0
-93.7908076,-10.13633669,4.307331499,4.903452609,0.563218,0.367816,0.068965,0,0,33.13032586,1
-92.23118636,-9.601141346,3.033293268,5.186799126,0.343283,0.298507,0.358208,0,0.078203125,31.07001656,1
-76.4294563,-7.717107214,25.89793162,11.36417002,0.042168,0.234939,0.602409,0.120481,0.342232055,123.1579443,1
-87.12739569,-8.949160627,10.4147426,7.810491061,0.186335,0.21118,0.590062,0.012422,0.338465526,127.3692552,1
-86.47099495,-9.413433384,15.03272539,8.786091319,0.24,0.496,0.264,0,0.250609029,62.0403106,1
-87.24078826,-8.135283147,20.23794659,11.23328595,0.026315,0.256578,0.717105,0,0.333333333,112.375446,1
-96.9905698,-9.087727082,7.728272446,7.605093465,0.190789,0.493421,0.30921,0.006578,0.260622568,78.96968258,1
-87.49343978,-7.318411983,18.34775278,8.992836475,0.130769,0.2,0.576923,0.092307,0.364073674,97.29318157,1
-69.5326826,-8.998200048,16.41708878,9.235229326,0.149253,0.208955,0.507462,0.134328,0.141815072,90.35248282,1
-95.04136228,-9.613848254,8.652101051,5.914527029,0.623853,0.302752,0.073394,0,0.265600432,28.93280846,1
-100.0633586,-8.385283138,7.485046315,2.941282871,0.75862,0.241379,0,0,0.333333333,15.44072575,0
-99.82377107,-9.206320871,5.005375376,6.387387011,0.392857,0.464285,0.142857,0,0.206355048,26.94351418,1
-71.32550806,-6.535163612,23.05831867,13.20320473,0,0,0.875,0.125,0.333333333,25.32031766,1
-78.62814419,-9.486916488,6.46958275,6.688028543,0.06923,0.461538,0.461538,0.007692,0.194710006,91.25619701,1
-78.96642443,-8.810754971,7.36217502,7.591020416,0.27027,0.27027,0.459459,0,0.171256727,51.29890653,1
-80.2400827,-6.198948229,11.8299859,11.30433972,0.10891,0.277227,0.584158,0.029702,0.076186131,75.29677185,1
-84.09455515,-6.550893083,17.10459253,10.61473937,0,0.085714,0.914285,0,0.333333333,10.74650331,0
-82.66250197,-9.929609146,17.7429464,10.65893563,0.258883,0.375634,0.365482,0,0.311918214,103.700154,1
-86.06726958,-12.24505681,4.021209042,8.270612574,0.544217,0.319727,0.136054,0,0.086358015,54.30122847,1
-92.66910464,-7.029109731,10.30499427,8.070570963,0.241379,0.672413,0.086206,0,0.268541033,7.649947993,0
-78.43576029,-7.39457029,20.13577352,9.697987497,0.012121,0.2,0.50909,0.278787,0.39793615,112.5185795,1
-76.24599127,-10.24472888,15.7386452,11.34475294,0.009756,0.121951,0.819512,0.04878,0.291167923,90.88508997,1
-68.94702471,-7.552212349,25.9490489,12.34875836,0,0.047904,0.407185,0.54491,0.366996407,182.5410429,1
-86.86010857,-8.771433611,12.80608826,9.807776397,0.061224,0.540816,0.382653,0.015306,0.359854314,106.4376734,1
-98.86311625,-10.04931788,-0.449310681,5.800154438,0.636363,0.363636,0,0,0,20.23185071,0
-82.34452501,-8.298765164,13.17993677,9.648823774,0.179487,0.429487,0.391025,0,0.363922285,82.20501986,1
-83.9161102,-9.805799783,12.75662159,5.890992202,0.329113,0.13924,0.291139,0.240506,0.034477043,48.15778021,1
-74.37179785,-7.149305897,17.09406317,12.58352741,0,0.266666,0.733333,0,0.333333333,22.57264955,0
-74.10654371,-8.206139644,18.97155048,10.71822381,0.0125,0.11875,0.7125,0.15625,0.380597763,115.9932337,1
-77.58005866,-6.073079696,20.25090466,12.19572363,0,0.173913,0.826086,0,0.445599446,23.09027849,0
-72.89965398,-7.308619907,29.66085733,11.21257726,0.012578,0.062893,0.496855,0.427672,0.337838503,150.0127703,1
-93.87773932,-8.668541391,7.340144649,6.845875953,0.407407,0.592592,0,0,0.384879725,23.34734463,0
-74.33027241,-5.852816542,20.50518203,14.5872033,0,0,1,0,0.451496388,25.9736759,1
-83.11174725,-11.67477801,9.814749908,10.01798496,0.212903,0.535483,0.187096,0.064516,0.208669981,65.05852687,1
-76.75126028,-6.07025896,20.46994418,14.0320204,0,0.105263,0.894736,0,0.738047138,24.06145776,0
-94.7196894,-8.601160498,10.38675342,7.372776099,0.558011,0.237569,0.204419,0,0.408782254,66.26028086,1
-97.12451576,-9.85726789,6.383752551,5.851313185,0.291666,0.625,0.083333,0,0.483984064,38.4097226,1
-100.2582527,-13.05884381,2.901970861,4.547390678,0.90909,0.090909,0,0,0.160993221,15.63634853,0
-97.60076903,-9.714682724,8.026967561,6.942139279,0.428571,0.5,0.071428,0,0.168325041,20.41224367,0
-97.26401561,-10.14574254,13.06163835,7.90240178,0.117647,0.57647,0.305882,0,0.407830343,30.47623397,1
-95.07507218,-9.238184786,11.81381829,6.953530824,0.273809,0.464285,0.261904,0,0.462687723,27.48434778,1
-82.38714332,-6.437056751,16.89017461,9.96144331,0.15,0.5,0.35,0,0.352724595,28.21545477,1
-89.659007,-8.848732195,10.75121235,7.197255311,0.545454,0.363636,0.090909,0,0.135203949,44.47077243,1
-77.14523826,-8.675334665,12.29873405,10.4883367,0.217687,0.278911,0.482993,0.020408,0.22181763,48.02939826,1
-78.60160045,-8.744834257,15.90106265,9.53647529,0.042253,0.302816,0.570422,0.084507,0.192737858,86.94469924,1
-93.29691244,-9.571406612,6.576556254,6.418491567,0.286956,0.591304,0.121739,0,0.25600624,53.50880263,1
-73.76501409,-7.8612162,15.95295874,10.25154905,0,0.368421,0.631578,0,0.333333333,21.18538957,0
-82.62874287,-8.15614672,16.12961499,9.925293424,0.2,0.296969,0.50303,0,0.30624676,92.3257942,1
-76.13485134,-8.978532147,19.02260971,10.56518065,0.090909,0.232954,0.630681,0.045454,0.327955272,104.2656138,1
-87.48065114,-8.851729699,7.7073772,8.464741765,0.6,0.2,0.2,0,0,17.179704,0
-70.18406737,-7.56397734,26.7210293,14.4268857,0,0,0.906432,0.093567,0.430796758,181.3037703,1
-83.4593296,-6.617918837,19.73238189,13.81999973,0,0,1,0,0.333333333,29.23162622,1
-96.95066576,-10.26777692,5.104983485,4.595176191,0.827586,0.160919,0.011494,0,0.548019017,20.315913,0
-72.4716973,-7.524308948,15.01630668,12.48860103,0,0.048648,0.881081,0.07027,0.363765039,59.36975257,1
-102.6357924,-13.31104234,-0.903118419,4.237390663,0.854545,0.145454,0,0,0,4.4168414,0
-77.08233838,-8.05778736,20.78527899,10.64779499,0.141025,0.275641,0.564102,0.01923,0.292023235,91.85058015,1
