StartTime,Longitude,Latitude,Data_Throughput,IP Access Time (ms),TransferTime,SessionTime,RSRP Avg,RSRQ Avg,SINR Avg,% QPSK ,% 16QAM,% 64QAM,% 256QAM,CQI,% MIMO
2018-09-20 17:04:02.449,51.533001,25.279735,71135408.66,292,6.627,14.076,-79.18384278,-10.14847719,11.10168756,0.443243,0.378378,0.178378,0,8.966598228,0.265621015
2018-09-20 17:04:09.736,51.534627,25.286614,132680562.1,327,6.645,6.972,-89.46107871,-10.26100037,14.8792419,0.080851,0.263829,0.655319,0,10.97496844,0.340481565
2018-09-20 17:08:04.704,51.534109,25.281259,64395540.32,334,6.784,7.118,-83.86274257,-10.56152829,6.76964677,0.140969,0.555066,0.303964,0,9.682714925,0.302846146
2018-09-20 17:10:29.309,51.534033,25.281225,65275262.26,353,6.618,6.971,-81.24034316,-11.03645672,9.412179358,0.014563,0.674757,0.30097,0.009708,9.985690196,0.117407072
2018-09-20 17:17:55.796,51.53562,25.279959,23026758.28,292,1.093,1.385,-80.51423746,-8.174389871,17.68526347,0,0.2,0.8,0,10.37867244,0.333333333
2018-09-20 17:18:09.049,51.530516,25.286812,23676591.57,313,1.063,1.376,-87.58251682,-8.977525794,8.625450301,0.21875,0.6875,0.09375,0,7.947130578,0.333333333
2018-09-20 17:22:02.078,51.551689,25.2808,29299650.38,301,0.859,1.16,-73.85408497,-6.217946102,23.16932596,0,0.285714,0.714285,0,13.20907987,0.333333333
2018-09-20 17:22:18.648,51.518467,25.2972,25603625.71,323,0.983,1.306,-99.24676926,-9.823790697,5.216179894,0.363636,0.454545,0.181818,0,7.773483447,0.333333333
2018-09-20 17:23:08.294,51.516616,25.300631,57591972.83,333,6.601,7.145,-99.60132752,-11.69932968,4.087551026,0.4,0.458333,0.141666,0,8.189666089,0.269100641
2018-09-20 17:24:13.198,51.551597,25.269888,18796340.58,300,1.339,1.639,-93.95972389,-6.37678956,11.77427753,0,0.25,0.75,0,7.845782197,0.333333333
2018-09-20 17:26:52.400,51.552105,25.26671,37701389.51,321,6.647,6.968,-93.08879209,-9.733213962,6.774481603,0.514925,0.373134,0.11194,0,6.495771805,0.302446295
2018-09-20 17:29:12.025,51.549869,25.257169,52782507.18,277,6.595,7.093,-82.27939837,-7.86690941,16.19620596,0.227848,0.430379,0.335443,0.006329,9.885929659,0.298731608
2018-09-20 17:35:41.399,51.500624,25.317595,109073722.1,319,6.578,14.955,-68.60941091,-7.861393532,22.18059633,0.005555,0.205555,0.75,0.038888,11.95242964,0.345408705
2018-09-20 17:36:57.230,51.540049,25.248019,28152559.35,526,0.894,1.42,-77.41694527,-5.093734657,10.68492581,0,0.083333,0.916666,0,9.098695623,0
2018-09-20 17:39:06.483,51.495544,25.316612,33864644.49,361,6.626,6.987,-84.95012043,-9.155431135,8.191593974,0.432989,0.443298,0.123711,0,6.436258884,0.125616259
2018-09-20 17:41:19.863,51.497033,25.309735,109512837.2,318,5.654,13.106,-80.14829835,-8.920307403,16.70383433,0.173333,0.246666,0.566666,0.013333,10.90787893,0.333333333
2018-09-20 17:43:13.051,51.551126,25.24712,28730932.54,288,0.876,1.164,-79.90102734,-5.8612161,23.93250281,0,0.071428,0.642857,0.285714,14.4142856,0.333333333
2018-09-20 17:45:22.444,51.496811,25.2942,134141102.2,315,6.81,7.125,-95.27992982,-10.10941367,20.73230517,0.429378,0.220338,0.005649,0.344632,7.887334947,0.394604057
2018-09-20 17:47:34.465,51.494849,25.283407,50314242.43,364,6.613,6.977,-88.79635516,-9.655145721,8.997150409,0.461538,0.391608,0.146853,0,7.298699151,0.297998891
2018-09-22 07:09:31.482,51.556752,25.252957,52548125.69,318,6.792,7.11,-97.57032629,-9.653295805,9.554395711,0.011363,0.40909,0.579545,0,7.486397885,0.515909451
2018-09-22 07:11:10.378,51.556848,25.252987,21311161.9,326,1.181,1.507,-99.4593296,-7.993721355,11.75921373,0,0.9,0.1,0,8.602602603,0.3998999
2018-09-22 07:11:55.821,51.556753,25.252956,26942633.72,357,6.625,6.982,-96.39704245,-10.12371368,5.747254805,0.313953,0.476744,0.209302,0,6.349638889,0.439103532
2018-09-22 07:11:58.734,51.556848,25.252917,73930462.8,325,6.575,7.12,-95.29132912,-9.836472711,10.90179261,0.20979,0.643356,0.146853,0,7.18241003,0.232471483
2018-09-22 07:17:20.873,51.541914,25.254495,19927489.24,314,1.263,1.577,-85.80724545,-7.349093598,9.421637055,0.238095,0.619047,0.142857,0,8.640221578,0
2018-09-22 07:18:08.480,51.53702,25.254379,24055683.01,324,6.794,7.118,-90.72944833,-7.432325696,12.40762107,0.105263,0.517543,0.377192,0,10.4379453,0.30130582
2018-09-22 07:22:09.104,51.50036,25.259429,88299062.9,337,6.784,7.121,-86.52742335,-8.039265708,19.5764322,0.054054,0.27027,0.662162,0.013513,9.772860982,0.406153926
2018-09-22 07:22:25.971,51.5184,25.2405,133858022.8,327,6.799,13.318,-78.18115738,-7.594018405,21.52262488,0,0.164383,0.664383,0.171232,10.72554243,0.34845283
2018-09-22 07:23:33.954,51.492723,25.27054,25396917.35,318,0.991,1.309,-83.66949326,-7.669312492,18.85259037,0,0,0.882352,0.117647,10.23000731,0.081239531
2018-09-22 07:23:49.479,51.51132,25.249563,22942978.84,330,1.097,1.427,-81.69790019,-6.3685412,18.65617721,0,0.619047,0.380952,0,11.17441522,0.394105135
2018-09-22 07:24:23.658,51.487415,25.278311,57119853.27,312,6.648,6.989,-82.00243309,-7.459008497,14.73549252,0.031496,0.086614,0.811023,0.070866,8.789812772,0.193721478
2018-09-22 07:24:39.334,51.505314,25.255907,51187404.13,301,6.578,7.1,-77.59228693,-6.605355479,27.94034219,0.046357,0.2649,0.509933,0.178807,10.19887266,0.328113915
2018-09-22 07:28:23.776,51.471195,25.315225,71175806.72,315,6.492,6.807,-72.01339641,-8.350977013,17.2007479,0.035714,0.071428,0.714285,0.178571,10.1291578,0.190747587
2018-09-22 07:28:41.180,51.511207,25.24923,27904462.92,312,6.665,6.977,-79.25114812,-8.360056618,15.46688161,0.446808,0.127659,0.351063,0.074468,5.499723458,0.243561899
2018-09-22 07:30:40.197,51.462128,25.336441,70680752.1,325,6.576,14.052,-94.1088793,-9.248348489,12.74484286,0.366666,0.506666,0.126666,0,8.385098932,0.386953497
2018-09-22 07:30:57.814,51.509198,25.233245,31644414.09,317,6.579,7.115,-102.7416146,-11.25617626,1.873324572,0.787401,0.204724,0.007874,0,4.907547278,0.142220196
2018-09-22 07:36:07.900,51.43331,25.393856,25396917.35,308,0.991,1.299,-88.44728558,-8.488324728,8.932522567,0.4,0.333333,0.133333,0.133333,6.939925636,0.333333333
2018-09-22 07:37:18.447,51.475364,25.244048,57942226.81,331,6.471,6.972,-81.71472358,-7.982101296,9.980313985,0.224806,0.193798,0.558139,0.023255,6.323523453,0.157162726
2018-09-22 07:40:58.527,51.409636,25.453409,40305322.5,456,6.523,6.979,-93.2456402,-8.752037226,10.29721618,0.459854,0.401459,0.138686,0,8.437535742,0.376480405
2018-09-22 07:42:23.249,51.408143,25.471294,18852668.77,526,1.335,1.861,-102.2454593,-12.02661851,-0.37977208,0.6,0.4,0,0,4.375443659,0
2018-09-22 07:43:33.677,51.49281,25.24515,75060517.25,306,6.623,7.087,-82.43630241,-8.878999842,14.14313125,0.337931,0.372413,0.289655,0,8.860249911,0.280516617
2018-09-22 07:48:43.213,51.384658,25.489287,24177104.73,346,1.041,1.387,-94.36828109,-7.313345705,10.52534453,0.1875,0.4375,0.375,0,8.330795841,0
2018-09-22 07:53:42.447,51.38715,25.484029,73889318.42,389,6.585,6.999,-92.49829004,-8.637750141,9.695402445,0.184049,0.711656,0.104294,0,8.861197319,0.19450561
