MQ,MD,MU,BQ,BC,Call_Drops
-7.5,-81,-99.3,0,0,1
-7.5,-82,-103.6,0,0,1
-7.5,-83,-104,0,0,1
-7.5,-84,-106.9,0,0,1
-7.5,-85,-103.5,0,0,1
-7.5,-86,-101.4,0,0,1
-7.5,-87,2381.2,0,0,1
-7.5,-89,-104.3,0,0,1
-7.5,-90,-111.5,0,0,1
-7.5,-91,-102.8,0,0,1
-7.5,-92,-106,0,0,1
-7.5,-93,-104.6,0,0,1
-7.5,-94,-101.6,0,0,1
-7.5,-95,2739.7,0,0,1
-7.5,-97,-102.9,0,1,1
-7.5,-98,-106.8,0,1,1
-7.5,-99,-112.1,0,1,1
-8,-100,2381.2,0,1,1
-8,-101,-105.7,0,1,1
-8,-102,-107.2,0,1,1
-8,-103,-107,0,1,1
-8,-104,-101.4,0,1,1
-8,-105,-108,0,1,1
-8,-107,-107.5,0,1,1
-8,-45,-97.8,0,0,1
-8,-64,-104.8,0,0,1
-8,-66,-97.5,0,0,1
-8,-68,-111.5,0,0,1
-8,-71,-108,0,0,1
-8,-73,-104.5,0,0,1
-8,-75,-103.1,0,0,1
-8,-76,-111.5,0,0,1
-8,-78,-111.5,0,0,1
-8,-79,-112.1,0,0,1
-8,-81,-104.7,0,0,1
-8,-83,-105.4,0,0,1
-8,-85,-104.5,0,0,1
-8,-87,-111.5,0,0,1
-8,-89,-102.5,0,0,1
-8,-90,-104.8,0,0,1
-8,-91,-104.2,0,0,1
-8,-92,-103.7,0,0,1
-8,-93,-107.6,0,0,1
-8,-94,-104.5,0,0,1
-8,-95,-111.5,0,0,1
-8,-96,-112.1,0,1,1
-8,-97,-101.5,0,1,1
-8,-98,-111.5,0,1,1
-8.5,-103,-104.5,0,1,1
-8.5,-104,-108,0,1,1
-8.5,-105,-108.2,0,1,1
-8.5,-106,-108.1,0,1,1
-8.5,-60,-104.1,0,0,1
-8.5,-62,-101.3,0,0,1
-8.5,-65,-104.6,0,0,1
-8.5,-72,-103,0,0,1
-8.5,-74,-111.5,0,0,1
-8.5,-75,-112.1,0,0,1
-8.5,-76,-103.6,0,0,1
-8.5,-77,-99,0,0,1
-8.5,-78,-111.5,0,0,1
-8.5,-79,-101.3,0,0,1
-8.5,-80,-103.2,0,0,1
-8.5,-82,2381.2,0,0,1
-8.5,-84,-104.1,0,0,1
-8.5,-85,-96.8,0,0,1
-8.5,-86,-105.2,0,0,1
-8.5,-88,-103.3,0,0,1
-8.5,-89,-102.8,0,0,1
-8.5,-90,-103.5,0,0,1
-8.5,-91,-105.4,0,0,1
-8.5,-92,-104.6,0,0,1
-8.5,-93,-103.9,0,0,1
-8.5,-94,-104.9,0,0,1
-8.5,-95,-103.2,0,0,1
-8.5,-95,-103.9,0,0,1
-8.5,-96,-101.6,0,1,1
-8.5,-96,-104.5,0,1,1
-8.5,-97,-104.9,0,1,1
-8.5,-98,-112.1,0,1,1
-8.5,-99,-105.8,0,1,1
-9,-100,-104.1,0,1,1
-9,-100,-107.9,0,1,1
-9,-101,-111.5,0,1,1
-9,-102,-104.8,0,1,1
-9,-103,-106.2,0,1,1
-9,-104,-105.5,0,1,1
-9,-105,-104.9,0,1,1
-9,-106,-108,0,1,1
-9,-65,-103,0,0,1
-9,-66,-100.6,0,0,1
-9,-68,-103,0,0,1
-9,-70,-99.4,0,0,1
-9,-73,-103.1,0,0,1
-9,-74,-103.8,0,0,1
-9,-75,-103.4,0,0,1
-9,-76,-105,0,0,1
-9,-76,-104.4,0,0,1
-9,-77,-104,0,0,1
-9,-78,-104.3,0,0,1
-9,-80,-96.8,0,0,1
-9,-81,-108,0,0,1
-9,-82,-103,0,0,1
-9,-83,-101.1,0,0,1
-9,-84,-104.7,0,0,1
-9,-86,-103.4,0,0,1
-9,-87,-111.5,0,0,1
-9,-89,2662.8,0,0,1
-9,-90,-97.2,0,0,1
-9,-91,-104.2,0,0,1
-9,-92,-101.6,0,0,1
-9,-93,-100.2,0,0,1
-9,-93,-106.9,0,0,1
-9,-94,-107.4,0,0,1
-9,-94,-106.9,0,0,1
-9,-95,-106.6,0,0,1
-9,-96,-102.6,0,1,1
-9,-97,-104,0,1,1
-9,-98,-107.7,0,1,1
-9,-99,-105.8,0,1,1
-9.5,-100,-112.1,0,1,1
-9.5,-101,-106.1,0,1,1
-9.5,-102,-106.2,0,1,1
-9.5,-103,-105.9,0,1,1
-9.5,-104,-108,0,1,1
-9.5,-105,-104.1,0,1,1
-9.5,-106,-106.1,0,1,1
-9.5,-107,-107.2,0,1,1
-9.5,-109,-104.1,0,1,1
-9.5,-46,-101.3,0,0,1
-9.5,-59,-97.1,0,0,1
-9.5,-61,-102.9,0,0,1
-9.5,-68,-112.1,0,0,1
-9.5,-69,-100.2,0,0,1
-9.5,-71,-102.8,0,0,1
-9.5,-72,-101.3,0,0,1
-9.5,-73,-99.2,0,0,1
-9.5,-74,-102.1,0,0,1
-9.5,-75,-103.2,0,0,1
-9.5,-76,-112.1,0,0,1
-9.5,-76,-101.6,0,0,1
-9.5,-77,-103.8,0,0,1
-9.5,-78,-102.6,0,0,1
-9.5,-80,-103.1,0,0,1
-9.5,-80,-102.3,0,0,1
-9.5,-82,-101.8,0,0,1
-9.5,-83,-99.3,0,0,1
-9.5,-84,-96.9,0,0,1
-9.5,-84,-111.5,0,0,1
-9.5,-85,-101.6,0,0,1
-9.5,-85,-103.9,0,0,1
-9.5,-86,-102.3,0,0,1
-9.5,-88,-112.1,0,0,1
-9.5,-89,2381.2,0,0,1
-9.5,-90,-111.5,0,0,1
-9.5,-91,-102.5,0,0,1
-9.5,-92,-111.5,0,0,1
-9.5,-93,-108,0,0,1
-9.5,-93,-111.5,0,0,1
-9.5,-94,-108,0,0,1
-9.5,-95,-105.1,0,0,1
-9.5,-96,-112.1,0,1,1
-9.5,-96,-101.7,0,1,1
-9.5,-97,-105.5,0,1,1
-9.5,-98,2662.8,0,1,1
-9.5,-99,-104.5,0,1,1
-9.5,-99,-105.7,0,1,1
-10,-100,-106.2,0,1,1
-10,-100,-101.6,0,1,1
-10,-101,-105,0,1,1
-10,-103,-106.7,0,1,1
-10,-104,-105,0,1,1
-10,-106,-107.2,0,1,1
-10,-107,-108.1,0,1,1
-10,-108,-101.6,0,1,1
-10,-110,-111.5,0,1,1
-10,-44,-102.2,0,0,1
-10,-51,-102.1,0,0,1
-10,-57,-101.2,0,0,1
-10,-59,-102.2,0,0,1
-10,-60,-100.1,0,0,1
-10,-61,-111.5,0,0,1
-10,-62,-101.5,0,0,1
-10,-64,-111.5,0,0,1
-10,-65,-100.7,0,0,1
-10,-66,-111.5,0,0,1
-10,-68,-97.7,0,0,1
-10,-69,-111.5,0,0,1
-10,-70,-103.6,0,0,1
-10,-71,-103.3,0,0,1
-10,-72,1452.7,0,0,1
-10,-73,-99.7,0,0,1
-10,-74,-103.6,0,0,1
-10,-75,-103.3,0,0,1
-10,-76,-99.8,0,0,1
-10,-77,-104.6,0,0,1
-10,-77,-111.5,0,0,1
-10,-78,2381.2,0,0,1
-10,-79,-100.8,0,0,1
-10,-80,-112.1,0,0,1
-10,-81,-104.7,0,0,1
-10,-82,-104.9,0,0,1
-10,-83,-108,0,0,1
-10,-84,-98,0,0,1
-10,-84,-100.4,0,0,1
-10,-85,-100.7,0,0,1
-10,-85,-111.5,0,0,1
-10,-86,-103.6,0,0,1
-10,-87,-101.1,0,0,1
-10,-87,-105.4,0,0,1
-10,-88,-104.1,0,0,1
-10,-89,-102.7,0,0,1
-10,-90,-111.5,0,0,1
